id,state_po,county,democrat,republican,dempct
0,AK,District 1,2573.0,3180.0,0.44724491569615854
1,AK,District 10,1808.0,6255.0,0.224234156021332
2,AK,District 11,2142.0,6444.0,0.24947589098532494
3,AK,District 12,1928.0,6629.0,0.22531260955942503
4,AK,District 13,1684.0,4028.0,0.29481792717086835
5,AK,District 14,3043.0,5978.0,0.33732402172708126
6,AK,District 15,1828.0,2525.0,0.4199402710774179
7,AK,District 16,3294.0,3203.0,0.5070032322610436
8,AK,District 17,3290.0,2618.0,0.556872037914692
9,AK,District 18,3909.0,2684.0,0.5929015622630062
10,AK,District 19,2669.0,1636.0,0.6199767711962834
11,AK,District 2,1585.0,3188.0,0.3320762623088204
12,AK,District 20,4151.0,2187.0,0.654938466393184
13,AK,District 21,4224.0,3479.0,0.5483577826820719
14,AK,District 22,3270.0,4203.0,0.43757527097551185
15,AK,District 23,2894.0,3246.0,0.47133550488599346
16,AK,District 24,3578.0,4709.0,0.4317605888741402
17,AK,District 25,3378.0,3816.0,0.469557964970809
18,AK,District 26,3374.0,4548.0,0.4259025498611462
19,AK,District 27,3729.0,4085.0,0.4772203736882519
20,AK,District 28,4749.0,5423.0,0.4668698387731026
21,AK,District 29,2101.0,6347.0,0.24869791666666666
22,AK,District 3,1241.0,5403.0,0.18678506923540036
23,AK,District 30,1816.0,6194.0,0.22671660424469414
24,AK,District 31,3466.0,5617.0,0.38159198502697345
25,AK,District 32,2701.0,3764.0,0.4177880897138438
26,AK,District 33,5978.0,2732.0,0.686337543053961
27,AK,District 34,4220.0,3955.0,0.5162079510703363
28,AK,District 35,3749.0,4105.0,0.477336389101095
29,AK,District 36,2693.0,4460.0,0.3764853907451419
30,AK,District 37,2421.0,1938.0,0.5554026152787337
31,AK,District 38,2758.0,1143.0,0.7069982055883107
32,AK,District 39,3142.0,1405.0,0.6910050582801848
33,AK,District 4,4162.0,4070.0,0.5055879494655005
34,AK,District 40,2338.0,1377.0,0.6293405114401077
35,AK,District 5,3187.0,3683.0,0.46390101892285296
36,AK,District 6,2536.0,4929.0,0.33971868720696585
37,AK,District 7,1510.0,5935.0,0.2028206850235057
38,AK,District 8,1218.0,6126.0,0.16584967320261437
39,AK,District 9,1843.0,6100.0,0.23202820093163792
40,AL,Autauga,5936.0,18172.0,0.2462253193960511
41,AL,Baldwin,18458.0,72883.0,0.2020779277651876
42,AL,Barbour,4871.0,5454.0,0.47176755447941887
43,AL,Bibb,1874.0,6738.0,0.21760334417092428
44,AL,Blount,2156.0,22859.0,0.08618828702778333
45,AL,Bullock,3530.0,1140.0,0.7558886509635975
46,AL,Butler,3726.0,4901.0,0.43189984931030484
47,AL,Calhoun,13242.0,32865.0,0.28720150953217516
48,AL,Chambers,5784.0,7843.0,0.42445145666691125
49,AL,Cherokee,1547.0,8953.0,0.14733333333333334
50,AL,Chilton,2911.0,15081.0,0.16179413072476656
51,AL,Choctaw,3109.0,4106.0,0.4309078309078309
52,AL,Clarke,5749.0,7140.0,0.4460392582822562
53,AL,Clay,1237.0,5245.0,0.1908361616784943
54,AL,Cleburne,684.0,5764.0,0.10607940446650124
55,AL,Coffee,4221.0,15875.0,0.21004179936305734
56,AL,Colbert,7312.0,16746.0,0.3039321639371519
57,AL,Conecuh,3080.0,3420.0,0.47384615384615386
58,AL,Coosa,1782.0,3381.0,0.3451481696687972
59,AL,Covington,2387.0,13267.0,0.15248498786252715
60,AL,Crenshaw,1664.0,4513.0,0.2693864335437915
61,AL,Cullman,3798.0,32989.0,0.10324299344877266
62,AL,Dale,4413.0,13808.0,0.24219307392569014
63,AL,Dallas,12836.0,5789.0,0.6891812080536913
64,AL,DeKalb,3622.0,21405.0,0.14472369840572183
65,AL,Elmore,8443.0,27634.0,0.23402721955816724
66,AL,Escambia,4605.0,9935.0,0.3167125171939477
